#Copyrighthttps://www.sports-reference.com/cfb/years/2019-schedule.html#schedule::none
#https://www.sports-reference.com/cfb/years/2019-schedule.html#schedule::none
Date,Winner,Pts,Loser,Pts,
43701,Florida,24,Miami(FL),20,
43701,Hawaii,45,Arizona,38,
43706,Alabama-Birmingham,24,AlabamaState,19,
43706,ArizonaState,30,KentState,7,
43706,BowlingGreenState,46,MorganState,3,
43706,Buffalo,38,RobertMorris,10,
43706,CentralArkansas,35,WesternKentucky,28,
43706,CentralFlorida,62,FloridaA&M,0,
43706,CentralMichigan,38,Albany,21,
43706,Cincinnati,24,UCLA,14,
43706,Clemson,52,GeorgiaTech,14,
43706,Connecticut,24,Wagner,21,
43706,Minnesota,28,SouthDakotaState,21,
43706,SanJoseState,35,NorthernColorado,18,
43706,TexasA&M,41,TexasState,7,
43706,Tulane,42,FloridaInternational,14,
43706,Utah,30,BrighamYoung,12,
43707,Army,14,Rice,7,
43707,Colorado,52,ColoradoState,31,
43707,MichiganState,28,Tulsa,7,
43707,Nevada,34,Purdue,31,
43707,OklahomaState,52,OregonState,36,
43707,Rutgers,48,Massachusetts,21,
43707,WakeForest,38,UtahState,35,
43707,Wisconsin,49,SouthFlorida,0,
43708,AirForce,48,Colgate,7,
43708,Alabama,42,Duke,3,
43708,AppalachianState,42,EastTennesseeState,7,
43708,Arkansas,20,PortlandState,13,
43708,Auburn,27,Oregon,21,
43708,Baylor,56,StephenF.Austin,17,
43708,BoiseState,36,FloridaState,31,
43708,BostonCollege,35,VirginiaTech,28,
43708,California,27,California-Davis,13,
43708,Charlotte,49,Gardner-Webb,28,
43708,EasternMichigan,30,CoastalCarolina,23,
43708,Georgia,30,Vanderbilt,6,
43708,GeorgiaState,38,Tennessee,30,
43708,Illinois,42,Akron,3,
43708,Indiana,34,BallState,24,
43708,Iowa,38,Miami(OH),14,
43708,IowaState,29,NorthernIowa,26,
43708,Kansas,24,IndianaState,17,
43708,KansasState,49,NichollsState,14,
43708,Kentucky,38,Toledo,24,
43708,LouisianaState,55,GeorgiaSouthern,3,
43708,Louisiana-Monroe,31,GramblingState,9,
43708,Marshall,56,VirginiaMilitaryInstitute,17,
43708,Maryland,79,Howard,0,
43708,Memphis,15,Mississippi,10,
43708,Michigan,40,MiddleTennesseeState,21,
43708,MississippiState,38,Louisiana,28,
43708,Navy,45,HolyCross,7,
43708,Nebraska,35,SouthAlabama,21,
43708,Nevada-LasVegas,56,SouthernUtah,23,
43708,NewMexico,39,SamHoustonState,31,
43708,NorthCarolina,24,SouthCarolina,20,
43708,NorthCarolinaState,34,EastCarolina,6,
43708,NorthTexas,51,AbileneChristian,31,
43708,NorthernIllinois,24,IllinoisState,10,
43708,Ohio,41,RhodeIsland,20,
43708,OhioState,45,FloridaAtlantic,21,
43708,OldDominion,24,NorfolkState,21,
43708,PennState,79,Idaho,7,
43708,SanDiegoState,6,WeberState,0,
43708,SouthernCalifornia,31,FresnoState,23,
43708,SouthernMethodist,37,ArkansasState,30,
43708,SouthernMississippi,38,AlcornState,10,
43708,Stanford,17,Northwestern,7,
43708,Syracuse,24,Liberty,0,
43708,Temple,56,Bucknell,12,
43708,Texas,45,LouisianaTech,14,
43708,TexasChristian,39,Arkansas-PineBluff,7,
43708,TexasTech,45,MontanaState,10,
43708,Texas-ElPaso,36,HoustonBaptist,34,
43708,Texas-SanAntonio,35,IncarnateWord,7,
43708,Troy,43,Campbell,14,
43708,Virginia,30,Pittsburgh,14,
43708,Washington,47,EasternWashington,14,
43708,WashingtonState,58,NewMexicoState,7,
43708,WestVirginia,20,JamesMadison,13,
43708,WesternMichigan,48,Monmouth,13,
43708,Wyoming,37,Missouri,31,
43709,Oklahoma,49,Houston,31,
43710,NotreDame,35,Louisville,17,
43714,ArizonaState,19,SacramentoState,7,
43714,BoiseState,14,Marshall,7,
43714,Virginia,52,William&Mary,17,
43714,WakeForest,41,Rice,21,
43715,Alabama,62,NewMexicoState,10,
43715,Alabama-Birmingham,31,Akron,20,
43715,AppalachianState,56,Charlotte,41,
43715,Arizona,65,NorthernArizona,41,
43715,ArkansasState,43,Nevada-LasVegas,17,
43715,Auburn,24,Tulane,6,
43715,BallState,57,Fordham,29,
43715,Baylor,63,Texas-SanAntonio,14,
43715,BostonCollege,45,Richmond,13,
43715,BrighamYoung,29,Tennessee,26,
43715,California,20,Washington,19,
43715,CentralFlorida,48,FloridaAtlantic,14,
43715,Clemson,24,TexasA&M,10,
43715,CoastalCarolina,12,Kansas,7,
43715,Colorado,34,Nebraska,31,
43715,ColoradoState,38,WesternIllinois,13,
43715,Duke,45,NorthCarolinaA&T,13,
43715,EastCarolina,48,Gardner-Webb,9,
43715,Florida,45,Tennessee-Martin,0,
43715,FloridaState,45,Louisiana-Monroe,44,
43715,Georgia,63,MurrayState,17,
43715,GeorgiaSouthern,26,Maine,18,
43715,GeorgiaState,48,Furman,42,
43715,GeorgiaTech,14,SouthFlorida,10,
43715,Hawaii,31,OregonState,28,
43715,Houston,37,PrairieViewA&M,17,
43715,Illinois,31,Connecticut,23,
43715,Indiana,52,EasternIllinois,0,
43715,Iowa,30,Rutgers,0,
43715,KansasState,52,BowlingGreenState,0,
43715,KentState,26,KennesawState,23,
43715,Kentucky,38,EasternMichigan,17,
43715,Louisiana,35,Liberty,14,
43715,LouisianaState,45,Texas,38,
43715,LouisianaTech,20,GramblingState,14,
43715,Louisville,42,EasternKentucky,0,
43715,Maryland,63,Syracuse,20,
43715,Memphis,55,Southern,24,
43715,Miami(OH),48,TennesseeTech,17,
43715,Michigan,24,Army,21,
43715,MichiganState,51,WesternMichigan,17,
43715,MiddleTennesseeState,45,TennesseeState,26,
43715,Minnesota,38,FresnoState,35,
43715,Mississippi,31,Arkansas,17,
43715,MississippiState,38,SouthernMississippi,15,
43715,Missouri,38,WestVirginia,7,
43715,NorthCarolina,28,Miami(FL),25,
43715,NorthCarolinaState,41,WesternCarolina,0,
43715,OhioState,42,Cincinnati,0,
43715,Oklahoma,70,SouthDakota,14,
43715,OklahomaState,56,McNeeseState,14,
43715,Oregon,77,Nevada,6,
43715,PennState,45,Buffalo,13,
43715,Pittsburgh,20,Ohio,10,
43715,Purdue,42,Vanderbilt,24,
43715,SanDiegoState,23,UCLA,14,
43715,SouthAlabama,37,JacksonState,14,
43715,SouthCarolina,72,CharlestonSouthern,10,
43715,SouthernCalifornia,45,Stanford,20,
43715,SouthernIllinois,45,Massachusetts,20,
43715,SouthernMethodist,49,NorthTexas,27,
43715,TexasTech,38,Texas-ElPaso,3,
43715,Tulsa,34,SanJoseState,16,
43715,Utah,35,NorthernIllinois,17,
43715,UtahState,62,StonyBrook,7,
43715,VirginiaTech,31,OldDominion,17,
43715,WashingtonState,59,NorthernColorado,17,
43715,WesternKentucky,20,FloridaInternational,14,
43715,Wisconsin,61,CentralMichigan,0,
43715,Wyoming,23,TexasState,14,
43721,Kansas,48,BostonCollege,24,
43721,WakeForest,24,NorthCarolina,18,
43721,WashingtonState,31,Houston,24,
43722,AirForce,30,Colorado,23,
43722,Alabama,47,SouthCarolina,23,
43722,Arizona,28,TexasTech,14,
43722,ArizonaState,10,MichiganState,7,
43722,Arkansas,55,ColoradoState,34,
43722,Army,31,Texas-SanAntonio,13,
43722,Auburn,55,KentState,16,
43722,BoiseState,45,PortlandState,10,
43722,BrighamYoung,30,SouthernCalifornia,27,
43722,California,23,NorthTexas,17,
43722,CentralFlorida,45,Stanford,27,
43722,CentralMichigan,45,Akron,24,
43722,Charlotte,52,Massachusetts,17,
43722,Cincinnati,35,Miami(OH),13,
43722,Citadel,27,GeorgiaTech,24,
43722,Clemson,41,Syracuse,6,
43722,CoastalCarolina,46,NorfolkState,7,
43722,Duke,41,MiddleTennesseeState,18,
43722,EasternMichigan,34,Illinois,31,
43722,Florida,29,Kentucky,21,
43722,FloridaAtlantic,41,BallState,31,
43722,FloridaInternational,30,NewHampshire,17,
43722,Georgia,55,ArkansasState,0,
43722,Iowa,18,IowaState,17,
43722,KansasState,31,MississippiState,24,
43722,Liberty,35,Buffalo,17,
43722,Louisiana,77,TexasSouthern,6,
43722,LouisianaState,65,NorthwesternState,14,
43722,LouisianaTech,35,BowlingGreenState,7,
43722,Louisville,38,WesternKentucky,21,
43722,Marshall,33,Ohio,31,
43722,Memphis,42,SouthAlabama,6,
43722,Miami(FL),63,Bethune-Cookman,0,
43722,Minnesota,35,GeorgiaSouthern,32,
43722,Mississippi,40,SoutheasternLouisiana,29,
43722,Missouri,50,SoutheastMissouriState,0,
43722,Navy,42,EastCarolina,10,
43722,Nebraska,44,NorthernIllinois,8,
43722,Nevada,19,WeberState,13,
43722,Northwestern,30,Nevada-LasVegas,14,
43722,NotreDame,66,NewMexico,14,
43722,OhioState,51,Indiana,10,
43722,Oklahoma,48,UCLA,14,
43722,OklahomaState,40,Tulsa,21,
43722,Oregon,35,Montana,3,
43722,OregonState,45,CalPoly,7,
43722,PennState,17,Pittsburgh,10,
43722,SanDiegoState,31,NewMexicoState,10,
43722,SouthFlorida,55,SouthCarolinaState,16,
43722,SouthernMethodist,47,TexasState,17,
43722,SouthernMississippi,47,Troy,42,
43722,Temple,20,Maryland,17,
43722,Tennessee,45,Chattanooga,0,
43722,Texas,48,Rice,13,
43722,TexasA&M,62,Lamar,3,
43722,TexasChristian,34,Purdue,13,
43722,Toledo,45,MurrayState,0,
43722,Tulane,58,MissouriState,6,
43722,Utah,31,IdahoState,0,
43722,Virginia,31,FloridaState,24,
43722,VirginiaTech,24,Furman,17,
43722,Washington,52,Hawaii,20,
43722,WestVirginia,44,NorthCarolinaState,27,
43722,WesternMichigan,57,GeorgiaState,10,
43722,Wyoming,21,Idaho,16,
43727,Tulane,38,Houston,31,
43728,BoiseState,30,AirForce,19,
43728,SouthernCalifornia,30,Utah,23,
43729,Alabama,49,SouthernMississippi,7,
43729,Alabama-Birmingham,35,SouthAlabama,3,
43729,AppalachianState,34,NorthCarolina,31,
43729,ArkansasState,41,SouthernIllinois,28,
43729,Army,52,MorganState,21,
43729,Auburn,28,TexasA&M,20,
43729,Baylor,21,Rice,13,
43729,BostonCollege,30,Rutgers,16,
43729,Buffalo,38,Temple,22,
43729,California,28,Mississippi,20,
43729,Clemson,52,Charlotte,10,
43729,CoastalCarolina,62,Massachusetts,28,
43729,Colorado,34,ArizonaState,31,
43729,EastCarolina,19,William&Mary,7,
43729,EasternMichigan,34,CentralConnecticutState,29,
43729,Florida,34,Tennessee,3,
43729,FloridaAtlantic,42,Wagner,7,
43729,FloridaState,35,Louisville,24,
43729,FresnoState,34,SacramentoState,20,
43729,Georgia,23,NotreDame,17,
43729,Hawaii,35,CentralArkansas,16,
43729,Indiana,38,Connecticut,3,
43729,IowaState,72,Louisiana-Monroe,20,
43729,KentState,62,BowlingGreenState,20,
43729,Liberty,62,Hampton,27,
43729,Louisiana,45,Ohio,25,
43729,LouisianaState,66,Vanderbilt,38,
43729,LouisianaTech,43,FloridaInternational,31,
43729,Miami(FL),17,CentralMichigan,12,
43729,MichiganState,31,Northwestern,10,
43729,MississippiState,28,Kentucky,13,
43729,Missouri,34,SouthCarolina,14,
