row_id,tweet_id,created_at,user,location,text
0,'1263613281924595712,5/21/20 23:30,ToplessVegas,Las Vegas,"@chrislhayes Cuomo, Murphy, Walz, Whitmer, and Newsom are de facto euthanizing grandparents by requiring unprepared… https://t.co/K54Q2FRYFs"
1,'1263613280381263872,5/21/20 23:30,Adwoaadubianews,Ghana,"Meet the 95-year-old veteran walking 14 miles to raise US$600,000 for COVID-19 charities https://t.co/63ssLbcLBm"
2,'1263613280242683904,5/21/20 23:30,roselarosillo,"Baja California, México",#COVID19 da mucha sed https://t.co/C3ogGuBG1L
3,'1263613270574989312,5/21/20 23:30,GreenCleanLV,"Las Vegas, Nevada",https://t.co/18dsvdpAZf Architects design COVID-19 mobile testing labs for underserved communities #GreenClean
4,'1263613269086011393,5/21/20 23:30,RajaNomanjamwal,"Jammu, Jammu And Kashmir","We are the only generation in human history to fight 3 pandemics together : TikTok, Covid 19 and stupidity."
5,'1263613268066734093,5/21/20 23:30,BreatheAgain777,"Texas, USA",Well the blue states have more Adrenochrome addicts and child traffickers. Of course they are still locked down....… https://t.co/rwfI8N6cxz
6,'1263613267865415682,5/21/20 23:30,SonKing,Tampa Bay,@SteveRustad1 Over 600 Doctors Road to Trump and asked him to end the COVID-19 lockdown. We don’t believe your fake… https://t.co/QlXPxQsubb
7,'1263613267773198336,5/21/20 23:30,newsfilterio,"New York, NY",UPDATE 1-Brazil retail tycoon Diniz says local supermarkets were fast to adjust to COVID-19 $BRFS #coronavirus… https://t.co/AwD1zSvE2P
8,'1263613267106136064,5/21/20 23:30,katgjovik,"Bainbridge Island, WA  USA",This promises to be a lively conversation - @dkorten w/ @SandraWaddock aka @IntellectShaman re how economic and man… https://t.co/PYZ9Qfnx3P
9,'1263613266229555200,5/21/20 23:30,MurraySchwann,"Biggar,Saskatchewan, Canada",Gary Kohls MD: An Alternative Medical View on COVID-19
10,'1263613263822143497,5/21/20 23:30,Prof_ian_shaw,Nottingham,Why are Africa’s Covid-19 Sucvesses not being celebrated?  https://t.co/z2wtZGBbsR
11,'1263613263364882432,5/21/20 23:30,508Flocko,"Boston, MA","Tv: If You Or A Loved On Worked During The 2020 Covid-19 Pandemic You May Have Been Ex

Me In 2030: https://t.co/5szDs5VveL"
12,'1263613262681247745,5/21/20 23:30,Bmanlegoboy,"North Carolina, USA","My mom said that when Disney reopens, they should install X-ray machines to scan your bags like those at airports s… https://t.co/8mFyMiObC9"
13,'1263613261888598016,5/21/20 23:30,devin_alexandrr,,Yoooo my Professor is clutch fuck Covid-19 😂🍾🎉 https://t.co/rcje7ybKrk
14,'1263613259845787649,5/21/20 23:30,RonRumple,,@Qanon76 @realDonaldTrump His deal 4 WHAT? ADRENOCHROME from the 3B WUHAN LAB that sent us into LOCKDOWN #Covid19… https://t.co/EGt87urYI5
15,'1263613257933176832,5/21/20 23:30,tracysherlock,Vancouver BC,She ensures people there is a notification system in place and that anyone feeling unwell will be separated in scho… https://t.co/NUa8IiVFFr
16,'1263613254103949312,5/21/20 23:30,HashimShar,Mirpurkhas Sindh,"Reckless and distrustful crowds on all sides  will cause speedy spreadout of ""Covid 19""  in the month of June and a… https://t.co/AKbhYNcINd"
17,'1263613253944573959,5/21/20 23:30,JamesFordTweets,"Telluride, Colorado. ",Dummy in a mask...https://t.co/8HnW5BgDJv
18,'1263613250987532293,5/21/20 23:30,HaroonK94252913,United Arab Emirates,"Azithromycin known for treatment of numerous bacterial infections such as strep throat,pneumonia,diarrhea, and othe… https://t.co/RyTYADPXt6"
19,'1263613250165497857,5/21/20 23:30,HomecareCovid19,,"Know the emergency warning signs of #Coronavirus. Though many people may get #cough and #fever, symptoms like bluis… https://t.co/6i2MyYDASC"
20,'1263613248663965698,5/21/20 23:30,elradarsv,,"#ElSalvador On April 24, President @realDonaldTrump offered to send mechanical fans to save the lives of critically… https://t.co/msSpMktKvX"
21,'1263613248030470144,5/21/20 23:30,humboldtdave,"Eureka, CA",Ex-White House employee who served 11 presidents dies of COVID-19 https://t.co/gLtfeKfj8H
22,'1263613247934156802,5/21/20 23:30,OhioIndy1,,"@WarrenDavidson I guess you missed that @SecPompeo hosted dinners, at taxpayer expense, that promoted his political… https://t.co/latLNIQ0UB"
23,'1263613246629531648,5/21/20 23:30,wordjuggler,"Boise, Idaho",Our government hasn’t caught up with the first wave yet. We’re fucked.  https://t.co/YxPYX3jJEp
24,'1263613243010027520,5/21/20 23:30,kaylenemarieee,ny:),my dad just said “if covid 19 was a person” and pointed at me.. das it i’m running away
25,'1263613240774258688,5/21/20 23:30,arabnewspk,,"A #shopping mall in #Singapore is deploying a newly developed smart robot to fight #COVID19, not with chemicals — b… https://t.co/9VbzVbiLbz"
26,'1263613239675453443,5/21/20 23:30,GiletsJaunesUK,West Midlands,"Hydroxychloroquine appears to be a safe, cheap and proven drug. Are elderly Britons being sacrificed to Covid-19 to… https://t.co/GOuwS4yeo9"
27,'1263613239172247553,5/21/20 23:30,Hits984,"Nairobi, Kenya",What happens when COVID-19 restrictions are lifted? Here are 3 sectors to watch https://t.co/YsnwHulOsa
28,'1263613238157012992,5/21/20 23:30,SharonC61730830,,@JustAskLizz @TalbertSwan @jackbmills @Toniob38 @FedEx @FedExPolicy Make this right.  How dare you not stand up for… https://t.co/5Vlsvl4PbV
29,'1263613237611896832,5/21/20 23:30,amy_may_lee,,@kolb Influenza or something else? I'm very glad to hear that it's not Covid-19
30,'1263613236928274433,5/21/20 23:30,Red_XIV,,@8simon9 @ScottAdamsSays Hydroxychloroquine isn't a treatment for COVID-19.
31,'1263613236504657925,5/21/20 23:30,TerrVisionnaire,,Fuck Covid-19. My allergies have been beating my ass for the past 3 days 😩
32,'1263613232532598788,5/21/20 23:30,u2songs,on a server,"Island Records' One Love COVID-19 Relief Auction raised £179,755 today, thanks in part to Bono's autographed, handw… https://t.co/jNXWxCZ86F"
33,'1263613228703252483,5/21/20 23:30,__imaannn,,I got ptsd from having Covid 19. Any small chest pressure I be like hold up.
34,'1263613228250206208,5/21/20 23:30,SFSU_CSLD,"San Francisco, CA",WE NEED YOU!!!  Come do your part to help safely re-open your state. The CDC Foundation is recruiting for critical… https://t.co/gcvvXCrGMf
35,'1263613223086903296,5/21/20 23:30,daleamtsberg,"Melbourne, Australia",Maharashtra forms panel to assist doctors in handling #dengue in India with higher risk of outbreak during #COVID-1… https://t.co/D4OsYPLEpG
36,'1263613220842958849,5/21/20 23:30,HydVice,"Hyderabad, India",@balala_ahmed @aimim_national @asadowaisi Great job By Aimim We Salute Hole Amim Army Great Work During #Lockdown… https://t.co/hTTk4TXPl3
37,'1263613220432097286,5/21/20 23:30,PPICNotes,"San Francisco & Sacramento, CA","For two recent special #elections in CA, all voters received vote-by-mail ballots. Our latest piece on #COVID19 dis… https://t.co/U5naS8zKrm"
38,'1263613213947473920,5/21/20 23:30,giovanni_ef,"Sydney, Australia",@lcos3060 @Haxby_Abbott @CGMMaher @DrChristineLin Thanks Leo. It's already been taken care of. @Rafael_Z_Pinto is m… https://t.co/C6oFn9qcWj
39,'1263613213406490624,5/21/20 23:30,TheWill_ofMan,"Los Angeles, CA","Hmm...clearly @amazon is on #trend, using this bullshit Corona Virus Covid19 hysteria to DELAY their deliveries.… https://t.co/oFMM2gTsqa"
40,'1263613213012156417,5/21/20 23:30,cestleiden,,Oxfam withdraws operations from 18 countries amid COVID-19 related financial pressures https://t.co/GZUmdNk7Rq
41,'1263613209669492749,5/21/20 23:30,c2thajay,"Atlanta, GA",COVID19 still hasn't made me watch an episode https://t.co/Z09pKqaVYq
42,'1263613209170202625,5/21/20 23:30,parkytheartist,"Gwalior, India",@flyspicejet Thank you i am able to book the ticket. Just wanted to anything specific i need to follow for travelin… https://t.co/mtZMhBUshM
43,'1263613206829940738,5/21/20 23:30,DrCristinaF,"Miami, FL",Anyone who puts their lives at risk during #COVID19 to help others: https://t.co/t8bUjNOODb
44,'1263613206649593857,5/21/20 23:30,EurasiaReview,Everywhere,COVID-19 Pandemic Provides Opportunity To Revive The Oceans – OpEd https://t.co/HaeGwj0WdH
45,'1263613205064093697,5/21/20 23:30,uzigalil,,At the office of emergency management #covid_19 @ Downtown Los Angeles https://t.co/Dysfgt90cM
46,'1263613199338831872,5/21/20 23:30,ScottBordenLPC,United States,FREE COVID-19 Job Search Resources - Executive Career Brand™ https://t.co/bwgVGdm8xu
47,'1263613196801396737,5/21/20 23:30,AgrilandIreland,Ireland,Check out the latest FarmLand episode... https://t.co/tOkUtt2ZtZ
48,'1263613195400462338,5/21/20 23:30,Saleemu4,NG,"Apple-Google: COVID-19 Exposure Notification API: How does it work?
@Google @googledevs @Apple @AppleSupport… https://t.co/jp154LcuLH"
49,'1263613194800676871,5/21/20 23:30,jasonhe54,"Manhattan, NY","@iblamecici @asian_jared @Pwn20wnd You don’t have to listen to me. You can update if you want. Besides, it’s not mu… https://t.co/5ll2S7k6h6"
50,'1263613194687393798,5/21/20 23:30,covid19oyo_eoc,Ibadan,"#Covid_19 OYO STATE CASE UPDATE

21st May, 2020
28 new cases confirmed 

#staysafe #SocialDistancing https://t.co/rVn2UlI11c"
51,'1263613193701777408,5/21/20 23:30,OKeefeCRS,"Baltimore, MD","#COVID-19 in Gaza is a horrifying prospect.  Very many, very vulnerable people in a very tight space. https://t.co/lRnS6pqcRJ"
52,'1263613192208408576,5/21/20 23:30,Jedi_master88,,Losing Adri and then Covid-19 causing the school year to be cancelled. That was a wrap. Mark this down as the worst school year for me.
53,'1263613189838655488,5/21/20 23:30,Josemd,Los Angeles,"Lockdown Delays Cost at Least 36,000 Lives, Data Show. Trump did say he could shoot someone and still win as Presid… https://t.co/AHJFPk7sRq"
54,'1263613188366577664,5/21/20 23:30,CarmalitaGip,"Norfolk, VA","@cynthiacrytzer @axios Won’t happen. The states are broke. The schools and hospitals will never be underfunded. So,… https://t.co/IuV1sPykQG"
55,'1263613187611668484,5/21/20 23:30,kklutz,"Ontario, Canada","@TomFitton @kati02683402 When the flu arrived in the U.S. in 1957, the U.S. had a vaccine ready. Deaths are estimat… https://t.co/nriKr7sVAY"
